time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial
1452625593505,1452625602638,254.93739327415824,ellipse,DA71AE14,1.0874628412503393,38,-2,-0.3333333333333333,94,4,6,9.133
1452625341841,1452625346601,236.66991759091616,ellipse,DA71AE14,2.0443941193584534,8,-4,-0.06451612903225806,38,58,62,4.76
1452625396280,1452625409400,117.12621468119323,pie,DA71AE14,0.16992500144231237,15,-1,-0.012345679012345678,19,80,81,13.12
1452625388137,1452625396279,293.9145773369819,square,DA71AE14,2.8328900141647417,14,-7,-0.4375,84,9,16,8.142
1452625371873,1452625376216,111.54429523274302,exploded,DA71AE14,3.0223678130284544,11,-8,-0.2222222222222222,64,28,36,4.343
1452625363264,1452625371871,210.17781257629395,ellipse,DA71AE14,2.0443941193584534,10,-4,-0.06060606060606061,34,62,66,8.607
1452625380593,1452625388136,321.31898805499077,ellipse,DA71AE14,1.6438561897747246,13,-3,-0.03125,4,93,96,7.543
1452625376217,1452625380591,239.5584974437952,square,DA71AE14,3.0223678130284544,12,-8,-0.0975609756097561,18,74,82,4.374
1452625740721,,130.56414244696498,outerRadius,DA71AE14,1.0874628412503393,59,2,0.03278688524590164,39,63,61,
1452625736584,1452625740719,310.6702515576035,pie,DA71AE14,0.16992500144231237,58,1,0.05263157894736842,81,20,19,4.135
1452625414432,1452625426231,24.708654368296266,pie,DA71AE14,3.189824558880017,17,9,0.14516129032258066,38,71,62,11.799
1452625409401,1452625414431,89.01139584369957,square,DA71AE14,2.6147098441152083,16,-6,-0.1276595744680851,53,41,47,5.03
1452625431424,1452625438942,277.2601797245443,exploded,DA71AE14,3.3398500028846247,19,10,0.15384615384615385,35,75,65,7.518
1452625713865,1452625717887,70.29749572277069,outerRadius,DA71AE14,2.6147098441152083,54,6,0.0821917808219178,27,79,73,4.022
1452625732064,1452625736582,234.46581727825105,pie,DA71AE14,1.0874628412503393,57,-2,-0.046511627906976744,57,41,43,4.518
1452625725944,1452625732062,115.36047533154488,outerRadius,DA71AE14,1.6438561897747246,56,-3,-0.03409090909090909,12,85,88,6.118
1452625689559,1452625696214,162.0450640283525,square,DA71AE14,0.16992500144231237,51,-1,-0.07692307692307693,87,12,13,6.655
1452625684760,1452625689558,47.44797765277326,pie,DA71AE14,2.0443941193584534,50,4,0.05263157894736842,24,80,76,4.798
1452625708719,1452625713862,164.9661621451378,ellipse,DA71AE14,2.6147098441152083,53,-6,-0.06741573033707865,11,83,89,5.143
1452625696215,1452625708718,245.57805349119008,ellipse,DA71AE14,0.16992500144231237,52,1,0.0625,84,17,16,12.503
1452625717890,1452625725943,282.6359034329653,ellipse,DA71AE14,2.0443941193584534,55,-4,-0.046511627906976744,14,82,86,8.053
1452625576280,1452625593502,307.00488922186196,square,DA71AE14,2.6147098441152083,37,-6,-0.16666666666666666,64,30,36,17.222
1452625426232,1452625431422,194.27273171022534,exploded,DA71AE14,1.0874628412503393,18,-2,-0.021739130434782608,8,90,92,5.19
1452625540233,1452625546398,96.20050524361432,pie,DA71AE14,-3,33,0,0,20,80,80,6.165
1452625170976,1452625176035,128.9353385847062,pie,ET18PD73,1.0874628412503393,30,2,0.10526315789473684,81,21,19,5.059
1452625160400,1452625166755,77.42347380146384,ellipse,ET18PD73,2.0443941193584534,28,4,0.1,60,44,40,6.355
1452625303437,1452625305880,115.61580494977534,ellipse,ET18PD73,0.16992500144231237,45,-1,-0.09090909090909091,89,10,11,2.443
1452625166755,1452625170975,259.2980567738414,square,ET18PD73,-3,29,0,0,43,57,57,4.22
1452625212546,1452625215587,255.42702407576144,outerRadius,ET18PD73,-3,36,0,0,48,52,52,3.041
1452625209118,1452625212545,282.6407452393323,pie,ET18PD73,1.0874628412503393,35,2,0.022727272727272728,12,90,88,3.427
1452625178847,1452625200784,209.01327629573643,exploded,ET18PD73,1.0874628412503393,32,2,0.028985507246376812,31,71,69,21.937
1452625114250,1452625146184,278.6847486253828,exploded,ET18PD73,2.357552004618084,24,5,0.056179775280898875,11,94,89,31.934
1452625146184,1452625149910,170.73691556230187,square,ET18PD73,0.16992500144231237,25,-1,-0.012345679012345678,19,80,81,3.726
1452625149910,1452625155193,33.24385676532984,exploded,ET18PD73,1.0874628412503393,26,2,0.125,84,18,16,5.283
